Date,Not indexed,Indexed,Impressions
2025-09-17,,,24
2025-09-18,,,25
2025-09-19,1173,94,20
2025-09-20,1172,94,25
2025-09-21,1172,94,22
2025-09-22,1172,94,54
2025-09-23,1173,91,32
2025-09-24,1173,91,18
2025-09-25,1173,91,42
2025-09-26,1173,91,30
2025-09-27,1179,85,34
2025-09-28,1179,85,34
2025-09-29,1179,85,25
2025-09-30,1186,78,29
2025-10-01,1186,78,27
2025-10-02,1186,78,22
2025-10-03,1186,78,22
2025-10-04,1274,92,23
2025-10-05,1274,92,39
2025-10-06,1274,92,47
2025-10-07,1276,90,39
2025-10-08,1276,90,41
2025-10-09,1276,90,98
2025-10-10,1276,90,34
2025-10-11,555,88,21
2025-10-12,555,88,36
2025-10-13,555,88,30
2025-10-14,561,82,45
2025-10-15,561,82,23
2025-10-16,561,82,27
2025-10-17,561,82,71
2025-10-18,569,74,21
2025-10-19,569,74,42
2025-10-20,569,74,21
2025-10-21,581,62,24
2025-10-22,581,62,41
2025-10-23,581,62,17
2025-10-24,581,62,18
2025-10-25,665,56,14
2025-10-26,665,56,18
2025-10-27,665,56,19
2025-10-28,675,46,20
2025-10-29,675,46,18
2025-10-30,675,46,21
2025-10-31,675,46,25
2025-11-01,679,42,11
2025-11-02,679,42,15
2025-11-03,679,42,35
2025-11-04,681,44,37
2025-11-05,681,44,18
2025-11-06,681,44,18
2025-11-07,681,44,14
2025-11-08,754,47,10
2025-11-09,754,47,30
2025-11-10,754,47,30
2025-11-11,760,41,25
2025-11-12,760,41,63
2025-11-13,760,41,30
2025-11-14,760,41,17
2025-11-15,761,40,27
2025-11-16,761,40,22
2025-11-17,761,40,16
2025-11-18,767,34,26
2025-11-19,767,34,24
2025-11-20,767,34,24
2025-11-21,767,34,14
